Frame,Mg,NaCl
MG_15mM_1264_Box_50_run2_frame0352_SHL6,0.027786,0.212064
MG_15mM_1264_Box_50_run2_frame0353_SHL2,0.116298,0.197225
MG_15mM_1264_Box_50_run2_frame0353_SHL6,0.07156,0.23733
MG_15mM_1264_Box_50_run2_frame0354_SHL2,0.221009,0.252355
MG_15mM_1264_Box_50_run2_frame0355_SHL2,0.221711,0.24402
MG_15mM_1264_Box_50_run2_frame0356_SHL6,0.103979,0.261354
MG_15mM_1264_Box_50_run2_frame0358_SHL2,0.136271,0.179047
MG_15mM_1264_Box_50_run2_frame0358_SHL6,0.1971,0.297506
MG_15mM_1264_Box_50_run2_frame0359_SHL2,0.103937,0.185036
MG_15mM_1264_Box_50_run2_frame0360_SHL2,0.176822,0.235574
MG_15mM_1264_Box_50_run2_frame0362_SHL2,0.085454,0.209475
MG_15mM_1264_Box_50_run2_frame0363_SHL2,0.086238,0.28809
MG_15mM_1264_Box_50_run2_frame0364_SHL2,0.20084,0.255861
MG_15mM_1264_Box_50_run2_frame0364_SHL4,0.162914,0.247419
MG_15mM_1264_Box_50_run2_frame0369_SHL2,0.089428,0.246249
MG_15mM_1264_Box_50_run2_frame0370_SHL2,0.167522,0.225816
MG_15mM_1264_Box_50_run2_frame0371_SHL2,0.057974,0.288212
MG_15mM_1264_Box_50_run2_frame0373_SHL2,0.154466,0.259284
MG_15mM_1264_Box_50_run2_frame0375_SHL4,0.128486,0.259006
MG_15mM_1264_Box_50_run2_frame0376_SHL4,0.134246,0.215971
MG_15mM_1264_Box_50_run2_frame0377_SHL2,0.208595,0.280642
MG_15mM_1264_Box_50_run2_frame0377_SHL4,0.132252,0.29392
MG_15mM_1264_Box_50_run2_frame0378_SHL2,0.249436,0.304554
MG_15mM_1264_Box_50_run2_frame0378_SHL4,0.297283,0.375907
MG_15mM_1264_Box_50_run2_frame0379_SHL4,0.12443,0.247178
MG_15mM_1264_Box_50_run2_frame0382_SHL4,0.121797,0.232033
MG_15mM_1264_Box_50_run2_frame0388_SHL2,0.078554,0.192181
MG_15mM_1264_Box_50_run2_frame0389_SHL2,0.197308,0.263617
MG_15mM_1264_Box_50_run2_frame0391_SHL4,0.143729,0.194193
MG_15mM_1264_Box_50_run2_frame0392_SHL2,0.246871,0.322493
MG_15mM_1264_Box_50_run3_frame0002_SHL6,0.281947,0.334048
MG_15mM_1264_Box_50_run3_frame0003_SHL6,0.302784,0.410031
MG_15mM_1264_Box_50_run3_frame0004_SHL6,0.278385,0.341443
MG_15mM_1264_Box_50_run3_frame0005_SHL6,0.162801,0.272815
MG_15mM_1264_Box_50_run3_frame0009_SHL4,0.143229,0.261167
MG_15mM_1264_Box_50_run3_frame0011_SHL6,0.187087,0.280315
