Frame,only_minor_groove,only_major_groove,only_dna_backbone,only_dna,only_gap,only_histone_tail,only_histone_core,only_acidic_patch,only_acidic_residues,only_histone,interface,binding_ions,unbinding_ions
9850,15,24,19,58,9,3,12,5,14,14,13,85,103
9875,17,25,18,60,8,3,14,4,16,16,11,87,101
9900,16,29,18,63,6,3,12,5,14,14,10,87,101
9925,15,26,18,59,7,4,12,4,14,15,10,84,104
9950,16,23,20,59,6,4,12,4,15,15,9,83,105
9975,15,23,19,57,6,4,13,4,15,16,12,85,103
10000,16,23,18,57,7,2,13,4,15,15,12,84,104
10025,17,23,15,55,8,3,12,4,14,15,13,83,105
10050,16,23,17,56,7,4,14,4,15,17,11,84,104
10075,15,23,19,57,6,3,12,4,13,14,14,85,103
10100,17,22,17,56,7,4,13,5,13,15,14,85,103
10125,15,24,17,56,9,3,13,4,12,15,12,83,105
10150,14,23,20,57,8,5,14,4,15,17,12,86,102
10175,13,23,23,59,9,4,13,4,14,15,12,86,102
10200,13,26,18,57,10,4,13,5,13,15,13,85,103
10225,15,28,17,60,8,5,13,4,15,16,10,86,102
10250,14,28,16,59,9,5,14,4,16,17,10,86,102
10275,12,26,18,56,11,4,14,4,14,17,12,85,103
10300,13,27,22,62,11,5,14,4,16,18,6,86,102
10325,12,26,24,62,13,5,14,4,15,19,9,90,98
10350,13,26,25,64,11,7,14,4,16,20,8,92,96
10375,13,25,20,58,11,5,15,4,17,19,8,85,103
10400,12,26,23,61,14,6,17,4,18,22,7,90,98
10425,15,26,22,63,13,4,14,4,15,17,11,91,97
10450,14,25,27,66,11,4,13,4,14,16,10,92,96
10475,14,25,25,64,12,4,14,4,15,17,11,92,96
10500,14,27,26,67,12,4,14,4,16,18,6,91,97
10525,15,25,25,65,10,5,15,5,18,20,6,91,97
10550,15,27,22,64,13,5,15,5,16,19,7,90,98
10575,15,27,24,66,10,4,16,5,17,20,6,92,96
10600,14,25,23,62,10,5,14,5,17,19,8,89,99
10625,14,23,25,62,11,5,13,5,17,18,7,87,101
10650,16,23,25,64,7,5,13,5,17,18,9,91,97
10675,16,23,23,62,9,4,13,5,16,17,8,87,101
10700,17,25,24,66,8,6,14,5,19,20,5,91,97
10725,15,24,21,60,8,5,15,5,20,20,9,89,99
10750,13,26,23,62,8,5,15,5,18,20,8,90,98
10775,14,22,24,60,11,4,16,5,18,20,9,89,99
10800,15,22,23,60,8,4,15,5,17,19,12,91,97
10825,15,24,26,65,9,4,14,5,15,18,9,92,96
10850,15,24,26,65,7,4,14,5,15,18,10,93,95
10875,12,27,27,66,8,5,15,5,18,20,6,92,96
10900,12,22,34,68,8,5,14,5,16,19,7,94,94
10925,15,27,29,71,10,5,12,5,16,17,7,95,93
10950,14,25,26,65,9,3,13,5,15,16,11,92,96
10975,15,25,30,70,10,2,14,5,16,16,9,95,93
11000,14,25,25,64,12,5,15,5,18,20,7,91,97
11025,15,26,24,65,10,2,13,6,15,15,12,92,96
11050,16,26,22,64,10,6,14,6,18,20,7,91,97
11075,16,27,18,60,11,2,13,5,15,15,13,88,100
11100,15,28,17,60,9,4,13,6,16,17,12,89,99
11125,14,25,21,60,12,3,15,5,17,18,13,91,97
11150,12,27,20,59,10,3,14,5,17,17,12,88,100
11175,13,27,19,60,14,4,12,5,15,16,12,88,100
11200,13,26,25,64,13,2,13,5,14,15,15,94,94
11225,14,25,24,63,11,2,12,6,14,14,14,91,97
11250,14,23,26,63,12,2,14,6,16,16,14,93,95
11275,16,23,24,62,11,3,12,6,15,15,12,89,99
11300,14,25,25,64,9,3,13,7,16,16,12,92,96
11325,12,26,20,58,12,2,17,6,17,19,12,89,99
11350,12,25,25,62,12,2,16,6,16,18,11,91,97
11375,13,24,26,63,10,2,14,6,14,16,13,92,96
11400,13,23,27,63,12,2,13,6,14,15,14,92,96
11425,14,23,21,58,13,3,15,6,15,17,14,89,99
11450,13,23,24,60,10,2,14,5,15,16,12,88,100
11475,13,22,26,61,10,2,14,5,15,16,12,89,99
11500,14,24,20,57,11,4,15,6,17,19,12,88,100
11525,13,23,21,57,13,3,15,6,16,18,13,88,100
11550,14,24,22,60,10,4,16,5,16,20,10,90,98
11575,15,24,21,60,11,4,15,5,17,19,14,93,95
11600,16,22,21,59,10,3,14,6,15,17,15,91,97
11625,16,24,21,61,9,3,14,6,16,17,14,92,96
11650,16,23,19,58,9,2,13,5,14,15,15,88,100
11675,15,23,23,61,12,2,13,6,14,15,15,91,97
11700,15,24,21,60,10,3,13,6,15,16,13,89,99
11725,14,22,21,57,11,3,14,6,15,16,15,88,100
11750,14,22,22,58,10,2,15,5,15,17,13,88,100
11775,14,24,20,58,11,2,14,5,14,16,13,87,101
11800,17,22,22,61,8,3,14,5,14,16,12,89,99
11825,15,24,20,59,11,2,14,5,15,16,11,86,102
11850,15,24,23,62,9,3,14,5,15,16,11,89,99
11875,15,26,20,61,6,2,14,5,14,16,11,88,100
11900,14,23,21,58,8,1,13,5,13,14,13,85,103
11925,13,24,20,57,9,3,13,6,14,15,13,85,103
11950,13,24,20,57,10,3,13,6,14,15,14,86,102
11975,13,23,21,57,8,2,13,6,14,15,14,86,102
12000,15,25,19,59,9,3,13,5,14,15,13,87,101
12025,14,26,17,57,10,2,13,5,13,14,14,85,103
12050,15,26,18,59,9,3,13,5,14,15,13,87,101
12075,14,23,23,60,10,3,13,5,14,15,13,88,100
12100,13,23,24,60,12,3,13,6,14,15,14,89,99
12125,13,24,26,62,11,3,13,6,14,15,13,90,98
12150,14,23,23,60,10,2,13,6,13,15,13,88,100
12175,15,23,19,57,12,3,16,6,17,18,11,86,102
12200,14,23,21,58,12,1,15,6,15,16,15,89,99
12225,15,25,18,57,13,2,15,5,15,17,13,87,101
12250,13,25,24,62,12,1,15,5,14,16,12,90,98
12275,16,23,22,61,12,3,17,5,17,19,12,92,96
12300,16,26,22,64,10,4,15,5,16,18,8,90,98
12325,17,27,16,60,12,5,14,6,17,18,9,87,101
12350,16,26,20,63,11,5,15,5,16,18,9,90,98
12375,15,28,20,63,6,1,14,6,15,15,12,90,98
12400,15,26,22,63,9,3,14,6,15,16,11,90,98
12425,17,27,19,63,12,1,15,5,15,16,12,91,97
12450,18,27,18,63,10,1,14,6,15,15,15,93,95
12475,17,27,23,67,9,2,14,5,16,16,13,96,92
