Frame,System,Number
429,MG_15mM_1264_wo_rw_run2,20
430,MG_15mM_1264_wo_rw_run2,17
431,MG_15mM_1264_wo_rw_run2,18
432,MG_15mM_1264_wo_rw_run2,21
433,MG_15mM_1264_wo_rw_run2,19
434,MG_15mM_1264_wo_rw_run2,17
435,MG_15mM_1264_wo_rw_run2,18
436,MG_15mM_1264_wo_rw_run2,16
437,MG_15mM_1264_wo_rw_run2,18
438,MG_15mM_1264_wo_rw_run2,15
439,MG_15mM_1264_wo_rw_run2,15
440,MG_15mM_1264_wo_rw_run2,17
441,MG_15mM_1264_wo_rw_run2,15
442,MG_15mM_1264_wo_rw_run2,14
443,MG_15mM_1264_wo_rw_run2,8
444,MG_15mM_1264_wo_rw_run2,10
445,MG_15mM_1264_wo_rw_run2,15
446,MG_15mM_1264_wo_rw_run2,7
447,MG_15mM_1264_wo_rw_run2,6
448,MG_15mM_1264_wo_rw_run2,5
449,MG_15mM_1264_wo_rw_run2,0
450,MG_15mM_1264_wo_rw_run2,1
451,MG_15mM_1264_wo_rw_run2,5
452,MG_15mM_1264_wo_rw_run2,5
453,MG_15mM_1264_wo_rw_run2,5
454,MG_15mM_1264_wo_rw_run2,1
455,MG_15mM_1264_wo_rw_run2,1
456,MG_15mM_1264_wo_rw_run2,7
457,MG_15mM_1264_wo_rw_run2,2
458,MG_15mM_1264_wo_rw_run2,1
459,MG_15mM_1264_wo_rw_run2,6
460,MG_15mM_1264_wo_rw_run2,4
461,MG_15mM_1264_wo_rw_run2,0
462,MG_15mM_1264_wo_rw_run2,7
463,MG_15mM_1264_wo_rw_run2,4
464,MG_15mM_1264_wo_rw_run2,6
465,MG_15mM_1264_wo_rw_run2,1
466,MG_15mM_1264_wo_rw_run2,4
467,MG_15mM_1264_wo_rw_run2,1
468,MG_15mM_1264_wo_rw_run2,4
469,MG_15mM_1264_wo_rw_run2,0
470,MG_15mM_1264_wo_rw_run2,4
471,MG_15mM_1264_wo_rw_run2,1
472,MG_15mM_1264_wo_rw_run2,2
473,MG_15mM_1264_wo_rw_run2,4
474,MG_15mM_1264_wo_rw_run2,0
475,MG_15mM_1264_wo_rw_run2,0
476,MG_15mM_1264_wo_rw_run2,0
477,MG_15mM_1264_wo_rw_run2,1
